Departure Location,Departure Time,Arrival Location,Arrival Time,Flight Duration,Aircraft Type,Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Refund Policy,Scrape Time,Airline,Flight Code,Fare Class
TP Hồ Chí Minh (SGN),2025-04-01 05:10:00,Hà Nội (HAN),2025-04-01 07:20:00,2.17,Airbus A321,Người lớn,1,4399000,1056000,5455000,14kg,40kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:21,Bamboo Airways,QH202,BUSINESSSMART
TP Hồ Chí Minh (SGN),2025-04-01 15:45:00,Hà Nội (HAN),2025-04-01 17:55:00,2.17,Airbus A320,Người lớn,1,4399000,1056000,5455000,14kg,40kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:22,Bamboo Airways,QH254,BUSINESSSMART
TP Hồ Chí Minh (SGN),2025-04-01 09:00:00,Hà Nội (HAN),2025-04-01 11:05:00,2.08,Airbus A321,Người lớn,1,4437000,1044000,5481000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé miễn phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên']",2025-03-31 08:56:23,Vietnam Airlines,VN244,W
TP Hồ Chí Minh (SGN),2025-04-01 06:30:00,Hà Nội (HAN),2025-04-01 08:40:00,2.17,Airbus A321,Người lớn,1,4899000,1081000,5980000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:23,Vietnam Airlines,VN7206,I
TP Hồ Chí Minh (SGN),2025-04-01 07:00:00,Hà Nội (HAN),2025-04-01 09:05:00,2.08,Airbus A321,Người lớn,1,4899000,1081000,5980000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:24,Vietnam Airlines,VN240,I
TP Hồ Chí Minh (SGN),2025-04-01 06:30:00,Hà Nội (HAN),2025-04-01 08:40:00,2.17,Airbus A330,Người lớn,1,5390000,1136000,6526000,18kg,40kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé miễn phí, thu chênh lệch giá', '- Áp dụng đổi tên mất phí', '- Miễn phí chọn chỗ trước']",2025-03-31 08:56:24,Vietjet Air,VJ1180,C_Boss
TP Hồ Chí Minh (SGN),2025-04-01 12:10:00,Hà Nội (HAN),2025-04-01 14:20:00,2.17,Airbus A330,Người lớn,1,5390000,1136000,6526000,18kg,40kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé miễn phí, thu chênh lệch giá', '- Áp dụng đổi tên mất phí', '- Miễn phí chọn chỗ trước']",2025-03-31 08:56:25,Vietjet Air,VJ178,C_Boss
TP Hồ Chí Minh (SGN),2025-04-01 16:00:00,Hà Nội (HAN),2025-04-01 18:05:00,2.08,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:26,Vietnam Airlines,VN216,J
TP Hồ Chí Minh (SGN),2025-04-01 17:00:00,Hà Nội (HAN),2025-04-01 19:10:00,2.17,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:26,Vietnam Airlines,VN254,J
TP Hồ Chí Minh (SGN),2025-04-01 19:35:00,Hà Nội (HAN),2025-04-01 21:40:00,2.08,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:27,Vietnam Airlines,VN262,J
TP Hồ Chí Minh (SGN),2025-04-01 20:00:00,Hà Nội (HAN),2025-04-01 22:05:00,2.08,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:28,Vietnam Airlines,VN220,J
TP Hồ Chí Minh (SGN),2025-04-01 14:00:00,Hà Nội (HAN),2025-04-01 16:05:00,2.08,Boeing 787,Người lớn,1,7599000,1297000,8896000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:28,Vietnam Airlines,VN214,J
